Variable Importance Shift Between Best Iteration Model and Final Model
+----+-----------------------+--------------------------------+--------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Shift of Relative Importance | Feature                  | Description                                                                                                                                     |
| 33 |              0.393447 |                     0.0919346  | 2_Txt:tweet.49           | Feature #50 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 34 |              0.389227 |                     0.0487713  | 2_Txt:tweet.23           | Feature #24 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 35 |              0.387391 |                     0.051414   | 2_Txt:tweet.29           | Feature #30 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 36 |              0.384151 |                     0.0886434  | 2_Txt:tweet.34           | Feature #35 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 37 |              0.383926 |                     0.0345539  | 2_Txt:tweet.17           | Feature #18 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 38 |              0.382525 |                     0.103585   | 1_TEXTCHARCNN_TE:tweet.1 | Predicted probabilities of class #2 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
| 39 |              0.380001 |                     0.0831018  | 2_Txt:tweet.46           | Feature #47 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 40 |              0.37577  |                     0.0575059  | 2_Txt:tweet.10           | Feature #11 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 41 |              0.375005 |                     0.10806    | 2_Txt:tweet.38           | Feature #39 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 42 |              0.374263 |                     0.0540301  | 2_Txt:tweet.9            | Feature #10 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 43 |              0.372695 |                     0.088338   | 2_Txt:tweet.41           | Feature #42 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 44 |              0.370848 |                     0.0876762  | 2_Txt:tweet.27           | Feature #28 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 45 |              0.364031 |                     0.087421   | 2_Txt:tweet.13           | Feature #14 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 46 |              0.362835 |                     0.0938427  | 1_TEXTCHARCNN_TE:tweet.0 | Predicted probabilities of class #1 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
| 47 |              0.352236 |                     0.051817   | 2_Txt:tweet.48           | Feature #49 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 48 |              0.352067 |                     0.0949603  | 2_Txt:tweet.30           | Feature #31 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 49 |              0.347593 |                     0.0794499  | 2_Txt:tweet.15           | Feature #16 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 50 |              0.346453 |                     0.0501872  | 2_Txt:tweet.12           | Feature #13 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 51 |              0.341191 |                     0.0744831  | 2_Txt:tweet.26           | Feature #27 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 52 |              0.340465 |                     0.0834233  | 2_Txt:tweet.24           | Feature #25 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 53 |              0.340046 |                     0.0780297  | 2_Txt:tweet.43           | Feature #44 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 54 |              0.339309 |                     0.0181989  | 2_Txt:tweet.36           | Feature #37 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]         |
| 55 |              0.313517 |                     0.0338013  | 1_TEXTCHARCNN_TE:tweet.2 | Predicted probabilities of class #3 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
| 56 |              0.142669 |                     0.0437988  | 0_CVTE:tweet.0           | Out-of-fold mean of the response (class 0) grouped by: ['tweet'] using 5 folds [internal:(10, 3, 10)]                                           |
| 57 |              0.104351 |                     0.00848176 | 0_CVTE:tweet.1           | Out-of-fold mean of the response (class 1) grouped by: ['tweet'] using 5 folds [internal:(10, 3, 10)]                                           |
| 58 |              0.102072 |                     0.0274065  | 0_CVTE:tweet.2           | Out-of-fold mean of the response (class 2) grouped by: ['tweet'] using 5 folds [internal:(10, 3, 10)]                                           |
+----+-----------------------+--------------------------------+--------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------+
