Variable Importance Shift Between Best Iteration Model and Final Model
+----+-----------------------+--------------------------------+------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Shift of Relative Importance | Feature                | Description                                                                                                                                   |
| 35 |             0.19081   |                    -0.0285354  | 1_Txt:tweet.41         | Feature #42 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 36 |             0.172859  |                     0.0338946  | 1_Txt:tweet.10         | Feature #11 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 37 |             0.167743  |                     0.00835192 | 1_Txt:tweet.21         | Feature #22 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 38 |             0.167163  |                     0.00496796 | 1_Txt:tweet.36         | Feature #37 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 39 |             0.16264   |                     0.025251   | 1_Txt:tweet.30         | Feature #31 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 40 |             0.160002  |                    -0.00353062 | 1_Txt:tweet.15         | Feature #16 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 41 |             0.157957  |                     0.0248429  | 1_Txt:tweet.32         | Feature #33 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 42 |             0.155906  |                    -0.0267601  | 1_Txt:tweet.11         | Feature #12 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 43 |             0.155754  |                    -0.0089898  | 1_Txt:tweet.34         | Feature #35 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 44 |             0.153952  |                    -0.00416221 | 1_Txt:tweet.44         | Feature #45 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 45 |             0.152484  |                    -0.0417829  | 1_Txt:tweet.20         | Feature #21 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 46 |             0.147684  |                    -0.0292585  | 1_Txt:tweet.25         | Feature #26 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 47 |             0.146478  |                    -0.00656731 | 1_Txt:tweet.49         | Feature #50 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 48 |             0.132879  |                    -0.00391659 | 1_Txt:tweet.43         | Feature #44 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 49 |             0.132161  |                     0.0033254  | 1_Txt:tweet.39         | Feature #40 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 50 |             0.125337  |                    -0.0396505  | 1_Txt:tweet.46         | Feature #47 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 51 |             0.123282  |                    -0.0098645  | 1_Txt:tweet.18         | Feature #19 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 52 |             0.110409  |                    -0.00250655 | 1_Txt:tweet.48         | Feature #49 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 53 |             0.108857  |                    -0.0635888  | 1_Txt:tweet.35         | Feature #36 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 54 |             0.10414   |                    -0.0696031  | 1_Txt:tweet.26         | Feature #27 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
| 55 |             0.0923833 |                    -0.0405684  | 1_Txt:tweet.9          | Feature #10 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 1, 50)]       |
+----+-----------------------+--------------------------------+------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------+
