Variable Importance Before Final Re-fit (but accounting for meta weights) -- Used for Shift
+----+-----------------------+---------------------------------------------+------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Standard Deviation of Relative Importance | Feature                | Description                                                                                                                                   |
| 40 |              0.159391 |                                           0 | 1_Txt:tweet.21         | Feature #22 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 41 |              0.158823 |                                           0 | 1_Txt:tweet.17         | Feature #18 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 42 |              0.158123 |                                           0 | 1_Txt:tweet.47         | Feature #48 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 43 |              0.158114 |                                           0 | 1_Txt:tweet.44         | Feature #45 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 44 |              0.157582 |                                           0 | 1_Txt:tweet.45         | Feature #46 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 45 |              0.155283 |                                           0 | 1_Txt:tweet.38         | Feature #39 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 46 |              0.155036 |                                           0 | 1_Txt:tweet.1          | Feature #2 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                 |
| 47 |              0.153046 |                                           0 | 1_Txt:tweet.49         | Feature #50 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 48 |              0.138964 |                                           0 | 1_Txt:tweet.10         | Feature #11 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 49 |              0.137389 |                                           0 | 1_Txt:tweet.30         | Feature #31 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 50 |              0.136796 |                                           0 | 1_Txt:tweet.43         | Feature #44 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 51 |              0.133147 |                                           0 | 1_Txt:tweet.18         | Feature #19 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 52 |              0.133114 |                                           0 | 1_Txt:tweet.32         | Feature #33 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 53 |              0.132952 |                                           0 | 1_Txt:tweet.9          | Feature #10 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 54 |              0.128836 |                                           0 | 1_Txt:tweet.39         | Feature #40 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
| 55 |              0.112916 |                                           0 | 1_Txt:tweet.48         | Feature #49 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                |
+----+-----------------------+---------------------------------------------+------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------+
