Variable Importance Before Final Re-fit (but accounting for meta weights) -- Used for Shift
+----+-----------------------+---------------------------------------------+--------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Standard Deviation of Relative Importance | Feature                  | Description                                                                                                                                     |
| 38 |             0.285974  |                                           0 | 2_Txt:tweet.35           | Feature #36 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 39 |             0.284571  |                                           0 | 2_Txt:tweet.40           | Feature #41 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 40 |             0.284357  |                                           0 | 2_Txt:tweet.41           | Feature #42 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 41 |             0.283172  |                                           0 | 2_Txt:tweet.27           | Feature #28 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 42 |             0.279716  |                                           0 | 1_TEXTCHARCNN_TE:tweet.2 | Predicted probabilities of class #3 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
| 43 |             0.278939  |                                           0 | 1_TEXTCHARCNN_TE:tweet.1 | Predicted probabilities of class #2 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
| 44 |             0.27661   |                                           0 | 2_Txt:tweet.13           | Feature #14 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 45 |             0.274023  |                                           0 | 2_Txt:tweet.37           | Feature #38 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 46 |             0.270886  |                                           0 | 2_Txt:tweet.25           | Feature #26 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 47 |             0.268992  |                                           0 | 1_TEXTCHARCNN_TE:tweet.0 | Predicted probabilities of class #1 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs |
| 48 |             0.268143  |                                           0 | 2_Txt:tweet.15           | Feature #16 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 49 |             0.266945  |                                           0 | 2_Txt:tweet.38           | Feature #39 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 50 |             0.266708  |                                           0 | 2_Txt:tweet.26           | Feature #27 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 51 |             0.262887  |                                           0 | 2_Txt:tweet.22           | Feature #23 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 52 |             0.262016  |                                           0 | 2_Txt:tweet.43           | Feature #44 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 53 |             0.257106  |                                           0 | 2_Txt:tweet.30           | Feature #31 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 54 |             0.257042  |                                           0 | 2_Txt:tweet.24           | Feature #25 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 55 |             0.245497  |                                           0 | 2_Txt:tweet.47           | Feature #48 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet'                                  |
| 56 |             0.0988698 |                                           0 | 0_CVTE:tweet.0           | Out-of-fold mean of the response (class 0) grouped by: ['tweet'] using 5 folds                                                                  |
| 57 |             0.095869  |                                           0 | 0_CVTE:tweet.1           | Out-of-fold mean of the response (class 1) grouped by: ['tweet'] using 5 folds                                                                  |
| 58 |             0.0746654 |                                           0 | 0_CVTE:tweet.2           | Out-of-fold mean of the response (class 2) grouped by: ['tweet'] using 5 folds                                                                  |
+----+-----------------------+---------------------------------------------+--------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------+
